类别,来源,标题,内容,时间,当前链接,上级链接,下载时间
视频,未知,爷孙误上高速 民警暖心护送,,1-2 08:57,http://www.chinanews.com/shipin/2019/01-02/news798047.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:56
视频,未知,骗子扮绑匪诈骗老人 民警扮儿子吓退骗子,,1-2 08:56,http://www.chinanews.com/sh/shipin/2019/01-02/news798059.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:56
财经,经济日报 　,服务贸易转向高质量发展,"  　　服务贸易转向高质量发展　　高 峰 商务部新闻发言人　　2018年1月份至11月份，我国服务进出口总额为47413.5亿元人民币，同比增长11.5%。其中，11月份当月，服务进出口增速达到14.9%，延续了较高增长态势。服务进出口较快增长，表明我国服务经济稳中向好，服务贸易内生动力持续增强。值得注意的是，前11个月，服务出口占进出口总额的比重达33.3%，创下了新高。随着“中国服务”国家品牌影响力逐步提升，我国服务出口能力明显增强。 


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 08:55,http://www.chinanews.com/cj/2019/01-02/8717610.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:57
社会,检察日报 　,北京：首例大气污染民事公益诉讼案二审维持原判,"  　　本报讯（记者杨永浩）近日，北京市检察机关提起的北京多彩联艺国际钢结构工程有限公司污染大气环境民事公益诉讼案（本报2017年7月30日、2018年5月10日曾作报道）二审宣判，北京市高级法院驳回多彩联艺公司上诉，维持原判。该案是北京市检察机关提起的首例涉及大气污染的民事公益诉讼案件。 杨永浩


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 08:53,http://www.chinanews.com/sh/2019/01-02/8717609.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:57
视频,未知,护士妈妈加班 儿子提着蛋糕来医院,,1-2 08:52,http://www.chinanews.com/sh/shipin/2019/01-02/news798057.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:57
社会,检察日报 　,非法销售假盐　被判支付惩罚性赔偿金200余万元,"  　　非法销售假盐　被判支付惩罚性赔偿金200余万元　　 云南鲁甸：提起刑事附带民事公益诉讼维护消费者权益　　本报讯（通讯员张庆鸿　朱金梅　陈维凡）近日，云南省鲁甸县检察院收到法院关于胡某等人生产、销售不符合食品安全标准案的一审判决书，判决支持了鲁甸县检察院提起的刑事附带民事公益诉讼全部请求，判令胡某等3人支付惩罚性赔偿金219.594万元，并在判决生效后30日内，在省级媒体上公开赔礼道歉。同时，法院还以生产、销售不符合安全标准的食品罪，对胡某等17人全部作出有罪判决，判处有期徒刑，并分处500万元至4万元不等的罚金。　　经查明，2015年10月以来，被告人胡某等人在明知工业盐不能食用的情况下，采用碘酸钾兑水添加后假冒食用盐，并以每吨2000元以上不等的价格进行销售。经认定，胡某等人生产的假盐达1193.43吨，销售金额238.68万元，除了被公安机关追回并扣押的95.46吨外，仍有1097.97吨假冒食盐销往昆明市、昭通市昭阳区、鲁甸县境内，销售数量巨大，涉及面广。　　2018年11月，鲁甸县检察院以生产、销售不符合安全标准的食品罪对胡某等17人提起公诉，对胡某、郭某、段某3人提起刑事附带民事公益诉讼。该院指控：胡某等人用工业盐翻包为假食用盐并进行销售，其行为已触犯刑法，应当追究其刑事责任。同时，胡某等人制假售假的行为侵害了众多消费者的合法权益，损害了社会公共利益。除依法受到应有的刑事处罚外，还应承担相应的民事侵权责任。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




　　鲁甸县检察院在媒体上刊登公告，督促适格主体提起民事公益诉讼，但无组织就胡某等人的侵权行为提起公益诉讼，社会公共利益仍处于受侵害状态。因此，该院依法向法院提起刑事附带民事公益诉讼。　　法院经审理认为，胡某等人生产、销售不符合安全标准的食品罪证据来源合法，证据间有关联性，能够印证检察机关指控各被告人犯罪的事实，予以确认。同时，被告人胡某、郭某、段某的行为损害了不特定消费者的生命健康权，检察机关提起的刑事附带民事公益诉讼，主体适格，程序合法，其公益诉讼请求应予以支持。法院遂作出上述判决。　　据悉，此次庭审邀请昭通市部分人大代表、政协委员、特约检察员以及群众代表到庭旁听或通过网络直播的方式进行观看，取得较好法治教育效果。 张庆鸿　朱金梅　陈维凡  

      ",1-2 08:51,http://www.chinanews.com/sh/2019/01-02/8717607.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:58
国内,中国纪检监察报 　,官员住别墅家人人手一辆豪车：我弟给的“赡养费”,"  
　　蹊跷合同的背后——揭开湖南省衡阳市农业委员会原副主任颜桥生权力套利的盖子

　　利用职务便利，“量身定制”显失公平的投资协议，让老板赚得盆满钵满；收获2笔共计3300余万的“股份”回报，其中单笔达2000余万元，令人咋舌。2018年5月，湖南省衡阳市纪委监委从两份“蹊跷”的项目投资协议入手，顺藤摸瓜揪出合同背后的“巨蠹”——市农业委员会(市委农村工作办公室)副主任、党委委员颜桥生，在全市党员干部中引起了强烈反响。

　　两份“蹊跷”的项目合同

　　2018年3月，衡阳市纪委监委收到审计部门移送的线索，直指衡阳县经济开发区多宗地块在土地融资过程中，签订显失公平协议，致使财政资金严重受损，国有资产流失严重。到底是工作失误还是暗藏腐败问题？市纪委监委立即成立专案组开展调查核实。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";






　　“投资2600万元，仅土地出让金就获得净利润2100余万元，投资回报率高达84%！”根据审计结果，经过撒网摸排，办案人员发现某道路融资项目有点“蹊跷”。

　　未进行土地价值评估，设置的底价明显低于市场价值；以土地出让金分成方式确定投资回报，严重违反市政府关于城市基础设施建设投资回报，坚持投资核定、回报算账分开进行的原则；抵押地块随意置换，从不毛之地变成了县城商业成熟地块……随着调查的不断深入，办案人员发现衡阳县城建投某道路综合开发项目也存在同样的问题。

　　一系列不寻常的迹象，令人疑窦丛生，办案人员意识到这里的水很“浑”。在调查两个项目背后的投资者后，办案人员有了重大发现：两个项目均有颜某参与，而颜某是曾任衡阳县委常委、副县长、县城建投董事长颜桥生的弟弟。在两个项目中，颜桥生都是拍板的关键人物。自此，颜桥生进入办案人员的视野。

　　3300余万元的“股份”回报

　　颜桥生在衡阳县“深耕”20多年，从村干部招工提干，逐渐成长为县委常委、副县长，分管国土资源、城建投资、县经开区，同时兼任衡阳县城建投董事长，是当地的“财神爷”，领导和下属对其评价颇高。

　　“这两个项目我存在工作失误，向组织检讨！”得知市纪委监委在调查两个项目的情况，2018年4月，颜桥生主动来到市纪委监委说明情况。面对颜桥生的“坦白”，专案组与其周旋的同时，安排人员摸排其家庭情况。颜桥生住的是价值300多万元的别墅，自己、妻子以及女儿人手一辆高档汽车。对此，颜桥生早有准备：“我弟弟每个月都会打5万块钱，作为我在家赡养父母的费用，我在个人事项报告中也报备过。”

　　然而，财富的来源并不像颜桥生说得这么“光明正大”。办案人员通过对颜桥生、其弟弟颜某以及两个项目老板万某、吕某之间的经济往来比对，发现颜桥生购房款有75万元来自于衡阳县城建投道路项目股东吕某，购车款有40万元来自衡阳县经开区道路项目股东万某。拍板的两个项目显失公平，受益的老板送房款车款，有如此巧合的事？市监委果断决定，依法对颜桥生、颜某、万某、吕某采取留置措施。

　　在铁的证据面前，颜桥生如实交代了自己在未实际出资的情况下，利用职务便利为颜某、万某开发衡阳县经开区道路项目，为颜某、吕某开发衡阳县城建投道路项目提供帮助，分别收受20%和10%的股份利润，共计3300余万元。

　　“量身定制”的项目条款

　　“颜桥生为两个项目尽心尽力，提供全程‘保姆式’服务。”办案人员介绍，为确保弟弟颜某、“不是兄弟胜似兄弟”的万某和吕某获得两个项目的开发权，颜桥生罔顾纪法，利用职务便利“量身定制”项目条款。

　　2009年6月，西渡经济开发区(衡阳县经济开发区前身)采取以地融资模式，启动某道路项目建设。颜桥生作为县政府分管领导，是项目的实际决策者。为帮助颜某、万某减少竞争对手，颜桥生更改项目报名条款，将报名保证金由1000万元提高到2600万元，并提前告知两人筹集资金；项目抵押地块位置较偏，面积过大，不利于开发，颜桥生大开“绿灯”，允许两人在县城范围内随意选地，并强行要求县城建投让出土地。最终，颜某、万某作为唯一的报名者，成功获得项目融资权。通过抵押地块的拍卖及后续的房地产开发，两人从中获利过亿元，颜桥生收受20%的股份利润回报，共计2260万元。

　　3个月后，衡阳县城建投某道路综合开发项目启动。同样的手段被复制，甚至变本加厉。颜桥生在报名条件上设置门槛，规定“中标者必须在拍卖成交当天缴纳土地出让金2500万元”；甚至在出席该项目竞争性谈判会议时，利用会前交流之际明确暗示其他报名者退出；为确保颜某、吕某尽快拿到土地，在投资合作协议中明确“每延期交付土地一日，按国有建设用地使用权出让价款的1‰支付违约金”条款；强行要求县城建投借款1000万元给颜某、吕某无偿使用，以缴纳足够保证金确保两人参与地块拍卖。最终，颜某、吕某以稍高出底价的低价竞得项目开发权。颜桥生从中收受两人所送项目10%的股份利润，共计1060万元。

　　2018年7月31日，颜桥生被开除党籍、开除公职并移送检察机关审查起诉。2018年11月15日，衡阳市中级人民法院对颜桥生案公开审理，庭审时颜桥生积极认罪悔罪，法院将择期对其进行宣判。(本报通讯员 肖湘东 李涛)  

      ",1-2 08:47,http://www.chinanews.com/gn/2019/01-02/8717602.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:58
视频,未知,部分联邦政府机构“停摆” 美国会两党领袖或赴白宫磋商,,1-2 08:45,http://www.chinanews.com/gj/shipin/2019/01-02/news798050.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:58
体育,中国新闻网 　,冬泳健儿齐聚浙江洞头 挑战“新年第一泳” ,"  
　　中新网温州1月2日电 (见习记者 潘沁文 通讯员 朱莉君 陈滨献)1月1日，300多名冬泳爱好者齐聚浙江洞头，参加第十二届“龙元建设杯”中国·洞头横渡半屏海峡冬泳邀请赛，以挑战自己的方式迎接新年的到来。

　　记者了解到，参加此次冬泳邀请赛的选手中，年龄最小的18岁，而年龄最大的66岁。“我冬泳坚持了15年，现在身体很棒，吃嘛嘛香。”今年66岁的王钢军边做热身运动边对记者说。



冬泳勇士 洞头区委宣传部供图

　　尽管天空有些灰暗，但海面上没有什么风浪，温度较之前几天虽稍有回升，但海水依旧冰冷刺骨。随着发令枪响，选手们纷纷跃入水中，不一会儿，平静的海面上都是游泳健将们的身影，拉起了长长的队伍，甚为壮观。在刺骨的海水中，选手们不停地挥动着自己的臂膀，使出全身的力气，共同向终点冲刺。

　　据悉，这次冬泳比赛全程约700米，从洞头国际放生台西侧码头下水，游至东岙沙滩上岸。经过半个多小时的比赛，陆陆续续有选手到达终点。



本次比赛赛程约700米 洞头区委宣传部供图

　　“我们都已经游了20多年了。”一名女选手接受采访时说，“今天感觉很好，温度也还行，冬泳对人的身体有好处，对个人的意志力也有好处。”

　　上岸的选手们虽然经历了一番考验，但精神饱满，以勇敢地挑战了自己的极限赢得了围观群众的掌声。

　　据悉，中国·洞头横渡半屏海峡冬泳邀请赛自2008年起至今已连续成功举办十一届。每年新年第一泳已经成为海岛洞头特色品牌赛事，以比赛来凝聚人气，有力地推动了该区海上运动和海岛休闲旅游发展。



选手出水 洞头区委宣传部供图

　　温州市冬泳协会会长张克向现场群众普及了冬泳的好处：“冬泳，我们俗称血管体操。在常温下跳到冰的水里面引起心脏收缩，血液迅速地往心脏里面流，经过不停地游泳，血液迅速地释放出来，对血管软化、御寒都有好处。”

　　近年来，为加快推进海岛休闲旅游和海上运动发展，积极培育旅游新业态，洞头区秉承群众体育与海岛环境互动，休闲体育与生态产业融合的发展理念，打造横渡半屏海峡邀请赛、国际矶钓名人邀请赛等海洋体育休闲品牌活动，有效促进了海岛休闲旅游和海上运动发展的融合，为洞头蓝色海洋产业发展注入了新的内容。(完)


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 08:45,http://www.chinanews.com/ty/2019/01-02/8717599.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:59
视频,未知,英警方：曼城火车站伤人事件与恐怖主义有关,,1-2 08:43,http://www.chinanews.com/gj/shipin/2019/01-02/news798051.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:59
视频,未知,中国男子篮球职业联赛：逆转战胜北京 辽宁收获16连胜,,1-2 08:43,http://www.chinanews.com/ty/shipin/2019/01-02/news798046.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:59
图片,未知,美国玫瑰花车游行迎新年,,1-2 08:42,http://www.chinanews.com/tp/hd2011/2019/01-02/860100.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:00
视频,未知,公安边防警卫部队集体换装,,1-2 08:40,http://www.chinanews.com/shipin/2019/01-02/news798054.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:00
视频,未知,第四次全国经济普查正式入户登记,,1-2 08:40,http://www.chinanews.com/shipin/2019/01-02/news798053.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:00
视频,未知,印度现“人面蜘蛛” 五官俱全轮廓清晰,,1-2 08:34,http://www.chinanews.com/shipin/2019/01-02/news798052.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:01
国际,新华网 　,假期不闲着！英首相就“脱欧”再向欧盟提要求,"  
　　英国首相府发言人2018年12月31日说，首相特雷莎·梅圣诞节假期至今一直与欧洲联盟领导人接触，希望就双方达成的“脱欧”协议得到欧盟进一步保证，以争取国内足够多议员投票支持“脱欧”协议。

　　【索要保证】

　　这名发言人说：“她假期与欧盟方面联系，本周将更加频繁。我不能列出名单，但她一直在与欧盟领导人接触，将持续至(议会下院)投票以前。”

　　英国定于3月29日正式“脱欧”。欧盟去年11月召开特别峰会，通过与英国达成的“脱欧”协议。英国议会下院原定去年12月11日表决“脱欧”协议，但特雷莎·梅在投票日前一天宣布推迟表决。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";






　　英国议会下院定于9日重新启动“脱欧”协议辩论，预期持续至10日。投票表决将在14日开始的那一周举行。

　　“脱欧”谈判中，英方没有能提出避免英国北爱尔兰地区与欧盟成员国爱尔兰之间重新设置实体海关和边防检查设施的具体方案，欧盟因而提出“担保方案”，即英国正式“脱欧”后，北爱暂时留在欧洲单一市场和关税同盟，遵循欧盟相关规则，直至英方提出“更好”方案。

　　这份“担保方案”招致在野党工党和执政党保守党部分成员反对，成为“脱欧”协议获得议会通过的最大障碍。不少人担忧，这一方案将使英国“永远”留在欧洲关税同盟，“脱欧”有名无实。

　　英国媒体报道，特雷莎·梅希望就“担保方案”得到欧盟进一步保证，即这一方案不太可能真正启用。

　　【苦劝支持】

　　英国首相府发言人说，特雷莎·梅在圣诞节期间与欧盟领导人的磋商没有取得进展，她希望在议会下院投票前得到欧盟方面保证。当被问及首相是否对磋商成功抱有信心时，这名发言人回答：“是的，这是她的工作重点。”

　　特雷莎·梅2018年12月31日发表新年讲话，敦促议员支持她与欧盟达成的“脱欧”方案。她说：“新年是向前看的时候。2019年，英国将翻开新篇章。我谈判达成的‘脱欧’协议兑现了英国民众(2016年)公投的结果。今后数周，议员们将作出重要决定。”

　　按她的说法，如果协议获通过，英国将按部就班地脱离欧盟。一旦协议遭否决，英国可能面临“无协议脱欧”的混乱局面，或是无法“脱欧”。

　　英国媒体几天前以消息人士为来源报道，保守党和工党资深议员正在联手计划推迟英国“脱欧”预定日期，以避免协议遭否决后触发“无协议脱欧”。如果英国政府不提议推迟“脱欧日”，他们将向政府施压，把这一日期延后至最晚7月。(张旌)(新华社专特稿）  

      ",1-2 08:32,http://www.chinanews.com/gj/2019/01-02/8717586.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:01
文化,科技日报 　,中国海岸带首次发现古海啸文明遗址,"  　　我国海岸带首次发现古海啸文明遗址　　科技日报讯 (记者陈瑜) 近年来，海啸给受灾国家带来了巨大损失，严重威胁海岸带安全。中国大陆沿海是否发生过海啸，过去的研究一直缺乏明确认识。近日，中国科学技术大学孙立广-谢周清教授研究小组，对广东省南澳岛的海岸沉积剖面进行研究，揭示了该岛一千年前遭受南海海啸袭击的历史，证实我国历史上曾发生过海啸冲击大陆海岸带的事件。　　研究小组对广东省南澳岛的地质调查发现，分布在南澳岛东南端的宋井海岸的巨型砾石、破损的宋代石臼和九溪澳湾最内侧的磨圆较好的砾石，指示了强烈的水动力搬运过程。以上证据证明南澳岛遭受了海啸袭击。　　特别重要的是，在海啸沉积层发现了大量宋代陶瓷器残片，而宋代之前或之后时期的陶器瓷器等遗迹却未在沉积层中发现，瓷器中不乏官窑产品，这表明宋井地区在北宋中期是一座有高度文明的小城，海啸导致宋城毁灭。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




　　过去十多年，研究小组对我国近海历史上的灾难事件进行了持续研究，相关研究为我国在南海建设海啸预警系统提供了重要理论依据。国内知名学术期刊《科学通报》日前以封面文章的形式发表了该研究成果。  

      ",1-2 08:30,http://www.chinanews.com/cul/2019/01-02/8717584.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:02
国际,中国新闻网 　,德国跨年夜汽车冲撞路人致五伤 动机疑为仇外,"  
　　中新社柏林1月1日电 (记者 彭大伟)德国北威州博特罗普1日凌晨发生一起汽车冲撞路人事件，至少造成5人受伤，其中4人为叙利亚和阿富汗籍。警方表示，初步调查显示这是一起因仇外情绪导致的蓄意袭击事件。

　　中国驻杜塞尔多夫总领事馆有关负责人当天晚间向中新社记者证实，此次事件中没有中国公民受伤。

　　根据德国北威州明斯特警方1日当天公布的案情，嫌疑人是来自该州埃森市的50岁男子。德国电视一台报道称，嫌犯为德国籍。1日凌晨零时3分左右，嫌疑人驾驶一辆银色奔驰车在博特罗普试图撞击一名路人，但路人及时闪避。此后，嫌犯继续向博特罗普市中心方向行驶，并在该市一处广场撞向在此的人群，造成至少4人受伤。伤者分别持叙利亚和阿富汗国籍，部分伤者伤势严重。

　　此时，嫌疑人开始驾车向埃森市方向逃逸，并在埃森又撞伤一名路人。他随后被警方截停并遭到逮捕。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";






　　当局表示，嫌疑人在被捕过程中发表了一些仇视外国人的言论。除怀疑这是一起由仇外情绪驱动的、有针对性的袭击事件外，调查人员也掌握了一些涉及嫌疑人精神疾病史的初步信息。

　　“这名男子明显存在杀害外国人的意图。”北威州内政部长罗伊尔当天表示，当局正在全力调查这一案件。他强调，北威州对来自任何地方的暴力犯罪者都持零容忍态度。

　　这是德国近期发生的第二起汽车冲袭人群事件。2018年12月20日，一名32岁男子在北威州雷克林豪森市市中心驾车冲撞附近公交车站台上的候车人群，造成1死6伤。(完)  

      ",1-2 08:19,http://www.chinanews.com/gj/2019/01-02/8717580.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:02
国际,中国新闻网 　,“新视野”号飞掠“天涯海角” 传信号报平安(图),"  
　　中新网1月2日电 据美国宇航局(NASA)官网消息，当地时间1月1日上午，NASA收到了来自“新视野”号探测器的信息，确认其成功近距离飞掠遥远天体“天涯海角”(Ultima Thule)。

　　报道称，“新视野”号探测器发回的信息，于美国东部时间1日上午10时29分抵达马里兰州约翰霍普金斯大学的应用物理实验室，确认探测器安全、并且已经记录了有关“天涯海角”的科学数据。控制室随之响起欢呼声。



资料图：探测器“新视野号”。

　　“新视野”号在距离地球65亿公里远处，高速飞掠“天涯海角”，与其最近距离约为35公里，“报平安”的讯号，在飞掠后约10个小时才抵达地球。

　　任务执行主管鲍曼(Alice Bowman)表示，影像和数据稍后也将抵达。

　　“天涯海角”位于太阳系的边缘、柯伊伯带(Kuiper)上。这是一个遥远的、绕太阳公转的冰冻物质带。因为处于冰封状态，科学家认为，对它的研究可能有助于弄清太阳系是如何形成的。

　　“新视野”号于2006年1月19日发射升空。在飞掠冥王星后，基于观测结果和探测器的燃料情况，科学团队决定以太阳系的第三区——柯伊伯带的天体“2014 MU69”作为下一个飞越目标。

　　这颗小行星的编号为485968，公众投票命名为“天涯海角”，名字源自古希腊和罗马传说，意思是“极北之地的尽头”。

　　飞越之后，预计“新视野”号需要用超过十年的时间，才能穿越柯伊伯带，进入星际空间。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 08:18,http://www.chinanews.com/gj/2019/01-02/8717581.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:03
国际,中国新闻网 　,第130届美国玫瑰花车游行热热闹闹迎新年,"  
　　中新社帕萨迪纳1月1日电 (记者 张朔)第130届美国玫瑰花车游行在2019年元旦如约而至。尽管出现一辆花车变“火车”的小插曲，但这场美国西部最盛大的新年庆祝活动仍给人们带来精彩的视觉享受和喜庆的节日氛围。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";






　　当地时间2019年1月1日上午8时许，一年一度的美国玫瑰花车游行在加利福尼亚州南部历史文化名城帕萨迪纳市举行。繁华的科罗拉多大道，昨晚开始就有很多“花车粉”前来通宵占位。至元旦一早，全程5.5英里的游行路线两侧已尽是人潮。

　　洛杉矶警方的摩托车队行进在游行队伍最前列，平日“走威武路线”的警车此刻也被鲜花装点。“警察花车”轰鸣着疾速变换队形，观众席上欢呼声此起彼伏。随后，近40辆花团锦簇、造型各异的花车和19个行进乐队、18个马术方阵载歌载舞陆续出现在人们视线之中，现场宛如鲜花和音乐的海洋。

　　逾百年历史的玫瑰花车游行与纽约时代广场新年倒计时齐名，是美国规模最大、吸引观众最多的新年庆典之一。玫瑰花车游行每年设置新主题，2019年主题是“The Melody of Life(生命的旋律)”，意在以音乐这一世界通行的语言将人们团聚在一起，激励每个人努力成为更好的自己。

　　65岁的美国歌手、音乐人夏卡·康(Chaka Khan)，凭借在音乐领域展现出非凡造诣并热心慈善和教育事业，被任命为2019年玫瑰花车游行大礼官。2019年玫瑰皇后则由高中学生路易斯·西斯克尔(Louise Siskel)当选，她同包括华裔女生马晓瑞在内的6位玫瑰公主一起，身着紫色长裙乘坐花车惊艳亮相。

　　因应今年“生命的旋律”游行主题，很多花车和仪仗队各运匠心凸显音乐元素。而音响效果最热闹喜庆的当属来自中国台湾的中华航空公司花车。这辆巨型花车以一个由成千上万朵康乃馨和兰花等鲜花制成的戏服人偶为主，“三太子表演团”为各国观众们带来结合传统民间舞蹈与现代流行音乐的特色表演。

　　今年的玫瑰花车游行还意外出现一个小插曲。一辆花车刚刚起步就起火冒出浓烟，主办方及时反应，疏散花车表演人员并迅速控制火势。游行整体节奏未受大的影响，不少附近观众为这辆花车鼓劲加油。(完)  

      ",1-2 08:17,http://www.chinanews.com/gj/2019/01-02/8717579.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:03
社会,中国天气网 　,新年首个工作日：北京晴朗隐退 明有轻度霾,"  
　　中国天气网讯 今天(2日)是2019年第一个工作日，北京云量渐增，晴朗退隐，最高气温1℃，最低气温-9℃。未来三天气温略升，但随着冷空气撤离，霾悄然潜入，明有轻度霾，好在潜伏时间较短，3日夜间随着三四级北风进驻，霾将烟消云散。

　　昨天北京处于持续低温蓝色预警中，早晨南郊观象台最低气温为-12.4℃，出现在5时9分，寒冷依旧是天气的主旋律。随着阳光普照，白天气温回暖比较快，最高气温也已爬升至冰点之上，为0.6℃，出现在14时16分。

　　今天(2日)是2019年第一个工作日，北京云量渐增，晴朗退隐。北京市气象台今晨6时发布最新预报：今天白天晴转多云，北转南风二三级，最高气温1℃；夜间多云间阴，北部山区有零星小雪，南转北风一二级，最低气温-9℃。



　　预计未来三天，北京以晴到多云天气为主，气温逐渐回升，但随着冷空气撤离，随之霾悄然潜入。预计3日有轻度霾，好在潜伏时间较短，3日夜间随着三四级北风进驻，霾将烟消云散。

　　气象专家提醒，未来几天气温虽然略微回升，但寒冷是主题，气温起伏较平缓，白天最高气温在1～4℃，夜间最低气温-9～-5℃，需注意防寒保暖。同时天干物燥，需注意补水润燥和用火用电安全，谨防火灾及一氧化碳中毒。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 08:15,http://www.chinanews.com/sh/2019/01-02/8717578.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:04
图片,未知,俄住宅楼发生天然气爆炸事故 致多人死伤,,1-2 08:13,http://www.chinanews.com/tp/hd2011/2019/01-02/860096.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:04
社会,中国天气网 　,北方气温渐回升 南方持续阴雨雪,"  
　　中国天气网讯 预计今明天(2-3日)，北方大部的气温会逐步摆脱低迷状态，恢复到较常年同期偏高的水平。而在南方，气温回升较为缓慢，预计要到后天才会逐渐转至接近常年或略偏高。但是由于3-5日还将有大范围降水出现，南方体感将持续湿冷。

　　冷空气影响结束 中东部气温缓慢回升

　　刚刚过去的12月下旬，我国新疆到华北一带气温明显偏低，部分地区平均气温偏低4℃以上，在南方，贵州、湖南一带气温也是明显偏低。



1月1日，雪后初霁的湘西州犹如一幅巨大的山水墨画。(张宇 摄)

　　昨迎元旦，强冷空气带来的影响趋于结束，我国中东部大部地区都以升温为主，升幅普遍2-4℃，局地5-7℃。

　　预计今明两天，北方大部地区的气温会逐步摆脱低迷状态，恢复到较常年同期偏高的水平，但是弱冷空气还是会频繁到访，所以回温的过程中气温还是会有小幅波动。

　　而在南方，气温回升较为缓慢，大部地区依旧湿冷。预计要到后天(4日)，气温才会逐渐由目前的明显偏低转至接近常年或略偏高状态。但是由于后期阴雨天气还是比较多，所以仍需注意防寒保暖。像是长沙、南昌等地未来一周的最高气温都不会超过10℃。

　　江南华南多弱雨雪 明起新一轮降水来袭

　　昨天，南方一轮降水天气过程开启。监测显示，浙江中北部、安徽南部、湖北东部、江西北部、湖南中部、贵州中部及新疆北部等地部分地区出现降雪或雨夹雪1～6毫米，贵州西北部出现冻雨。

　　今天，江南、华南仍多弱雨雪天气。中央气象台预计，西藏东部、湖南东部、浙江西北部等地的部分地区有小雪或雨夹雪；四川盆地西南部、云南西南部、江南中东部、华南大部、台湾岛等地有小到中雨，其中，台湾岛东北部局地有大雨(25～45毫米)。内蒙古中部、山东半岛等地的部分地区有4～6级偏北风。台湾海峡、南海东北部和西部海域有8级、阵风9级的东北风，其中，南海西南部部分海域的风力可达9级、阵风10～11级。



　　明天起至5日，南方将有新一轮较明显降水过程，大部地区有小到中雨、局地大雨；西北地区东部、黄淮等地有降雪或雨转雪。

　　气象专家提醒，近期南方仍多阴雨天气，体感湿冷，需注意防寒保暖，并加强用电、用气安全；同时，要注意防御道路结冰对交通运输和出行以及对农业、林业造成的不利影响。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 08:12,http://www.chinanews.com/sh/2019/01-02/8717576.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:37:04
